SERVICECODEDESCRIPTION,n_requests,cluster_kmeans,cluster_agg,n_requests,median_rt,p90_rt,overdue_rate,month_entropy,top_ward_share,median_late_overdue
Abandoned Bicycle,1069,2,3,1069,1015.5347222222222,5732.910833333334,0.5640785781103835,2.4290299887623408,0.4097287184284378,2683.1375
Abandoned Vehicle - On Private Property,1189,2,1,1189,241.56194444444444,22611.842,0.28847771236333053,2.470396552063813,0.2640874684608915,19294.148333333334
Abandoned Vehicle - On Public Property,5291,1,1,5291,122.67083333333333,1342.7688888888888,0.37365337365337364,2.4803741725732897,0.25893025893025895,263.2919444444444
Alley Cleaning,7864,1,1,7864,242.9363888888889,2112.668,0.1520854526958291,2.3761054213936603,0.2051119023397762,1337.1754166666665
Alley Repair,1175,2,3,1175,20563.964722222223,50731.46261111112,0.7685106382978724,2.4213880595287645,0.2774468085106383,13004.440277777778
Bicycle Services,294,2,3,294,3829.9120833333336,6688.220555555555,0.8163265306122449,2.421148715156689,0.336734693877551,2015.5573611111113
Bulk Collection,50626,1,0,50626,255.2263888888889,449.3245555555556,0.03903132777624146,2.4763257849433358,0.1872555603839924,23.832638888888887
Bus/Rail Issues,287,2,1,287,566.9,11442.154388888915,0.21254355400696864,2.3658763600172255,0.16376306620209058,8704.988888888889
Christmas Tree Removal-Seasonal,290,3,2,290,94.21027777777778,176.70888888888913,0.23448275862068965,-0.0,0.23793103448275862,68.95083333333334
DC Government Information,707,0,0,707,0.0002777777777777778,0.0002777777777777778,0.0297029702970297,1.595551329614978,0.6053748231966054,354.66527777777776
DMV - Copy of Ticket,454,0,0,454,144.35055555555556,186.3939722222222,0.030837004405286344,2.449552947500766,0.5286343612334802,9.121666666666666
DMV - Drivers License/ID Issues,3888,1,0,3888,71.29277777777779,120.44255555555556,0.041666666666666664,2.4700907391819205,0.18287037037037038,1.0502777777777776
"DMV - Forms, Applications, and Manuals Request",343,1,0,343,171.49666666666667,259.5782222222222,0.014577259475218658,2.393860221260783,0.21865889212827988,0.8758333333333334
DMV - Online Processing Issues,388,0,0,388,161.96486111111113,187.2855277777778,0.04381443298969072,2.466253957268984,0.4484536082474227,0.14666666666666667
DMV - Vehicle Insurance Lapse,224,1,0,224,215.63777777777779,288.88575,0.026785714285714284,2.150909404551569,0.2544642857142857,0.5736111111111111
DMV - Vehicle Registration Issues,2226,1,0,2226,144.98944444444444,168.88319444444443,0.02336028751123091,2.4592727925800992,0.1693620844564241,1.2691666666666666
DMV - Vehicle Title Issues,714,0,0,714,212.495,283.8457222222222,0.047619047619047616,2.4628151805030334,0.4103641456582633,0.7252777777777778
DOEE - Construction – Erosion Runoff,274,2,3,274,430.78291666666667,35803.705666666676,0.5802919708029197,2.453488169932753,0.23357664233576642,354.3441666666667
DOEE - General Environmental Concerns,572,1,1,572,0.15861111111111112,4528.108888888889,0.0034965034965034965,2.4639236310643744,0.19405594405594406,4408.214583333333
Dead Animal Collection,2934,1,0,2934,29.59722222222222,91.78697222222223,0.11349693251533742,2.4535302486260515,0.17518745739604635,17.970555555555556
Emergency No-Parking Verification,14591,1,0,14591,1.893888888888889,6.004722222222222,0.018230416009869098,2.4595535049134596,0.2714687135905695,22.29513888888889
FEMS - Community Events,813,2,3,813,5804.298611111111,9721.791055555555,0.8646986469864698,2.359189012689114,0.1943419434194342,6361.520833333333
FEMS - Smoke Alarm Application,511,2,3,511,4704.675277777777,9888.518333333333,0.9099804305283757,2.4111806111867407,0.3150684931506849,4921.711111111111
Graffiti Removal,5778,1,1,5778,122.53569444444445,1020.7288333333336,0.24402907580477673,2.4523940503994757,0.3639667705088266,518.0972222222222
Grass and Weeds Mowing,1215,1,1,1215,423.74430555555557,760.4338888888889,0.2559670781893004,2.0067421783815718,0.2847736625514403,160.2138888888889
How Is My Driving - Complaint,397,2,3,397,2033.7205555555556,4797.074833333333,0.6926952141057935,2.4384250730905688,0.22921914357682618,1771.086388888889
Illegal Dumping,6128,1,0,6128,47.66986111111111,120.95886111111112,0.009464751958224544,2.4687436909801783,0.20153394255874674,26.093055555555555
Illegal Poster,462,0,1,462,91.25486111111111,331.07713888888895,0.22077922077922077,2.2778706406068845,0.3528138528138528,136.71777777777777
Leaf Season Collection,713,3,2,713,406.7011111111111,5107.571333333333,0.41514726507713884,1.0421123795265135,0.2370266479663394,4377.870694444445
Out of State Parking Violation (ROSA),3307,1,0,3307,36.84222222222222,159.0615,0.009978832778953735,2.4655332270117754,0.24886604172966434,159.58194444444445
Parking Enforcement,37298,1,0,37298,2.053888888888889,5.937222222222222,0.022306826103276316,2.478296811495287,0.21944876400879404,49.57263888888889
Parking Meter Repair,31979,0,0,31979,51.15888888888889,599.5008888888889,0.21141999437130618,2.462861823893194,0.5627130304262172,370.3025
Pothole,6947,1,1,6947,73.4088888888889,200.45044444444466,0.34129840218799484,2.345704311019774,0.2247013099179502,66.05361111111111
Public Space Litter Can- Installation/Removal/Repair,494,2,1,494,3979.7920833333333,7221.438583333333,0.038461538461538464,2.457086331880181,0.19635627530364372,2883.0261111111113
Public Space Litter Can-Collection,554,1,0,554,17.204305555555557,45.42241666666666,0.039711191335740074,2.3856638697315984,0.2003610108303249,12.358888888888888
Recycling Cart - Repair,263,1,0,263,116.34694444444445,304.7793611111111,0.0076045627376425855,2.4420127246106977,0.20912547528517111,148.78916666666666
Recycling Cart Delivery,2395,1,1,2395,260.2113888888889,328.7823888888889,0.0037578288100208767,2.4722605877336643,0.17202505219206682,181.31944444444446
Recycling Collection - Missed,6096,1,0,6096,27.989583333333336,85.89944444444444,0.09826115485564305,2.461129919622801,0.20423228346456693,17.793333333333333
Residential Parking Permit Violation,8433,1,0,8433,3.0825,7.150611111111112,0.02430926123562196,2.4712980956698516,0.2657417289220918,45.28194444444444
Roadway Repair,1910,2,3,1910,25838.618333333332,49696.745833333334,0.8842931937172774,2.4681216538100355,0.19895287958115182,17444.75527777778
Roadway Signs,15624,2,3,15624,9481.865555555556,34485.71155555556,0.6601382488479263,2.457914118695496,0.21818996415770608,10697.268055555556
Roadway Striping / Markings,826,2,3,826,4751.684027777777,17158.224583333336,0.48062953995157387,2.439631774717252,0.2179176755447942,6627.079444444445
Rodent Inspection and Treatment,5311,1,1,5311,452.65805555555556,1342.3252777777777,0.4460553568066278,2.4320549262953532,0.21860289964225194,328.34444444444443
Sanitation Enforcement,9655,1,0,9655,46.806111111111115,121.24161111111111,0.01605385810460901,2.458596524447991,0.21553599171413776,43.706944444444446
Sidewalk Repair,4301,2,3,4301,12631.6675,39879.50550000001,0.6826319460590561,2.468531970183826,0.21041618228318995,12624.869444444445
Sidewalk Shoveling Enforcement Exemption,1493,3,2,1493,74.31277777777778,118.35394444444444,0.16945746818486268,1.2525771032833624,0.25452109845947757,22.04
Snow Sidewalk Shoveling Enforcement Exemption,441,3,2,441,27.16722222222222,92.93055555555556,0.018140589569160998,0.01607235879964646,0.22448979591836735,15.620000000000001
Snow/Ice Removal,259,3,2,259,23.10638888888889,123.99677777777778,0.4671814671814672,1.1017313027828024,0.20463320463320464,66.10305555555556
Street Cleaning,5451,1,1,5451,232.49944444444444,2155.8241666666668,0.14089157952669235,2.379729004818556,0.188589249678958,1528.4281944444444
Streetlight Repair Investigation,12444,1,1,12444,55.25541666666666,2355.1435555555577,0.1759080681452909,2.48450444768428,0.19238187078109933,3213.0777777777776
Supercan - Delivery,1706,1,1,1706,255.7061111111111,325.53458333333333,0.0017584994138335288,2.474586634185644,0.2391559202813599,1050.3244444444445
Supercan - Repair,377,1,0,377,111.97888888888889,279.734,0.002652519893899204,2.45110661497337,0.22811671087533156,135.98527777777778
TRU Report,2885,1,1,2885,0.9258333333333333,39481.616888888886,0.13795493934142114,2.475813114461371,0.16499133448873485,41588.24916666667
Traffic Safety Investigation,1189,1,1,1189,72.71916666666667,6222.657111111112,0.16063919259882253,2.458025412722629,0.1825063078216989,5525.0697222222225
Traffic Signal Issue,3047,2,1,3047,209.78194444444443,504.2427777777779,0.9711191335740073,2.4802258420362753,0.23137512307187397,160.72833333333332
Trash Cart - Delivery,2691,1,1,2691,263.6976388888889,334.8278888888889,0.00929022668153103,2.4641350104507667,0.23411371237458195,231.54972222222221
Trash Collection - Missed,9249,1,0,9249,28.380277777777778,83.88544444444449,0.10520056222294302,2.4745671558910782,0.20964428586874256,15.720277777777778
Tree Inspection,4637,1,0,4637,20.47111111111111,71.40855555555557,0.021996980806555964,2.316904185328426,0.18179857666594781,153.77722222222224
Tree Planting,3562,2,1,3562,2704.7494444444446,10038.9925,0.015160022459292532,2.429701861907611,0.30404267265581136,19610.614166666666
Tree Pruning,4170,1,1,4170,693.0026388888889,6040.8374722222225,0.08729016786570744,2.3401811023469845,0.1920863309352518,1482.5255555555555
Tree Removal,2447,1,1,2447,119.34,6925.917833333335,0.11728647323252962,2.3399377025607038,0.1924805884756845,3236.2380555555555
Utility Repair Issue,588,2,3,588,2087.730972222222,15165.868083333338,0.49829931972789115,2.4774232501206517,0.2619047619047619,2253.3869444444445
Yard Waste - Missed,2696,1,0,2696,28.419027777777778,80.51388888888889,0.00556379821958457,2.4473303114212173,0.25704747774480713,88.47472222222223
